growth_transitions,location,year,diseases,scenario,both,disability,mortality
FALSE,Global,2077,Ageing-related,100% reduction,2552.817508435934,554.8863163143425,1384.3494558430405
FALSE,Global,2078,Ageing-related,100% reduction,2571.687144604556,554.907764510417,1396.745151595914
FALSE,Global,2079,Ageing-related,100% reduction,2589.583176151987,554.9025907203788,1408.6127839121018
FALSE,Global,2080,Ageing-related,100% reduction,2606.5085811774857,554.8329005799875,1419.8660874861594
FALSE,Global,2081,Ageing-related,100% reduction,2622.453284444897,554.6586704487305,1430.5734173280755
FALSE,Global,2082,Ageing-related,100% reduction,2637.438645304661,554.4100888853359,1440.7669200536193
FALSE,Global,2083,Ageing-related,100% reduction,2651.419370683056,554.0407331831723,1450.4215515276221
FALSE,Global,2084,Ageing-related,100% reduction,2664.559261700429,553.696281613019,1459.5485975378829
FALSE,Global,2085,Ageing-related,100% reduction,2676.83681554148,553.2926038940077,1468.158513364913
FALSE,Global,2086,Ageing-related,100% reduction,2688.2768952938777,552.8089673779612,1476.3291404384527
FALSE,Global,2087,Ageing-related,100% reduction,2698.951859915247,552.2819070668697,1484.1072630092374
FALSE,Global,2088,Ageing-related,100% reduction,2708.8314226792563,551.6300099858398,1491.4562074926243
FALSE,Global,2089,Ageing-related,100% reduction,2718.0956727458497,551.0089748236218,1498.3633814050102
FALSE,Global,2090,Ageing-related,100% reduction,2726.68299204861,550.3023827486353,1504.85519027983
FALSE,Global,2091,Ageing-related,100% reduction,2734.606895450999,549.5034877822446,1510.9247970263852
FALSE,Global,2092,Ageing-related,100% reduction,2741.9079969802706,548.6535909178076,1516.6404828712539
FALSE,Global,2093,Ageing-related,100% reduction,2748.5107215522567,547.6502194820347,1522.0841562745122
FALSE,Global,2094,Ageing-related,100% reduction,2754.581936164034,546.6556755987721,1527.1883667054958
FALSE,Global,2095,Ageing-related,100% reduction,2760.038689689829,545.5527345555076,1531.982407898119
FALSE,Global,2096,Ageing-related,100% reduction,2764.877061411362,544.345541482668,1536.465499149639
FALSE,Global,2097,Ageing-related,100% reduction,2769.1404490082627,543.0818921316795,1540.6286274408913
FALSE,Global,2098,Ageing-related,100% reduction,2772.753338877634,541.6658404389362,1544.5261724933853
FALSE,Global,2099,Ageing-related,100% reduction,2775.858131578561,540.2630681374645,1548.0875335249796
FALSE,Global,2100,Ageing-related,100% reduction,2778.3717993166674,538.7700486421566,1551.3745435946025
FALSE,Global,2101,Ageing-related,100% reduction,2780.29863887578,537.2034956556425,1554.3516812093906
FALSE,Global,2102,Ageing-related,100% reduction,2781.6869020217982,535.6109167988691,1556.9783321255236
FALSE,Global,2103,Ageing-related,100% reduction,2782.474597623048,533.9217787640896,1559.3475014058465
FALSE,Global,2104,Ageing-related,100% reduction,2782.8087068988093,532.3010244953384,1561.3575653546886
FALSE,Global,2105,Ageing-related,100% reduction,2782.6451376817113,530.6524497415886,1563.1035964590264
FALSE,Global,2106,Ageing-related,100% reduction,2782.007082238968,528.988958512084,1564.5755767580624
FALSE,Global,2107,Ageing-related,100% reduction,2780.9444121347533,527.3418522264376,1565.7205379135276
FALSE,Global,2108,Ageing-related,100% reduction,2779.429973733611,525.6678093172617,1566.6262636410895
FALSE,Global,2109,Ageing-related,100% reduction,2777.5930069647034,524.0860201908798,1567.1693566973963
FALSE,Global,2110,Ageing-related,100% reduction,2775.4129859861737,522.5105034482098,1567.4687592977466
FALSE,Global,2111,Ageing-related,100% reduction,2772.9063957480935,520.9418716262273,1567.5357318125086
FALSE,Global,2112,Ageing-related,100% reduction,2770.097019671197,519.3888114981833,1567.3500926350202
FALSE,Global,2113,Ageing-related,100% reduction,2766.970498055335,517.8273854455938,1566.9812766125535
FALSE,Global,2114,Ageing-related,100% reduction,2763.6146053005714,516.311519530119,1566.316414367283
FALSE,Global,2115,Ageing-related,100% reduction,2759.99138648907,514.7804168241672,1565.4880052125789
FALSE,Global,2116,Ageing-related,100% reduction,2756.1094219390784,513.2297626095476,1564.5154500304823
FALSE,Global,2117,Ageing-related,100% reduction,2751.9805189633257,511.65779180956747,1563.3823587399675
FALSE,Global,2118,Ageing-related,100% reduction,2747.596236936898,510.05352983807376,1562.1316197828187
FALSE,Global,2119,Ageing-related,100% reduction,2743.006951305075,508.4329438929224,1560.6756169595012
FALSE,Global,2120,Ageing-related,100% reduction,2738.162953299924,506.768851011198,1559.1169455876952
FALSE,Global,2121,Ageing-related,100% reduction,2733.072981630147,505.0610579778032,1557.4912564445638
FALSE,Global,2122,Ageing-related,100% reduction,2727.756514699744,503.30819920530035,1555.8275187944078
FALSE,Global,2123,Ageing-related,100% reduction,2722.239594737842,501.5094322862978,1554.131933059106
FALSE,Global,2124,Ageing-related,100% reduction,2716.5468297407474,499.66564174648477,1552.4461556075173
FALSE,Global,2125,Ageing-related,100% reduction,2710.7267746167945,497.77796596058465,1550.6697585739755
FALSE,Global,2126,Ageing-related,100% reduction,2704.775249044392,495.84504092806054,1548.8539407040234
FALSE,Global,2127,Ageing-related,100% reduction,2698.707453587739,493.8675674798565,1547.0061419959363
FALSE,Global,2128,Ageing-related,100% reduction,2692.5393539234324,491.8474780315895,1545.1269751470795
FALSE,Global,2129,Ageing-related,100% reduction,2686.2867471385316,489.7883471540909,1543.2126899112739
FALSE,Global,2130,Ageing-related,100% reduction,2679.9615409791995,487.6921963566456,1541.2591556713685
FALSE,Global,2131,Ageing-related,100% reduction,2673.5750854964353,485.56464297227194,1539.2580989661435
FALSE,Global,2132,Ageing-related,100% reduction,2667.1335228011703,483.4094092080069,1537.200710542656
FALSE,Global,2133,Ageing-related,100% reduction,2660.6391724644873,481.23043502959825,1535.0777723127871
FALSE,Global,2134,Ageing-related,100% reduction,2654.0908471043854,479.03141314856913,1532.875241076661
FALSE,Global,2135,Ageing-related,100% reduction,2647.4826030109407,476.81546592856216,1530.5816627166587
FALSE,Global,2136,Ageing-related,100% reduction,2640.8068107809104,474.58833012839796,1528.1818128621464
FALSE,Global,2137,Ageing-related,100% reduction,2634.051131205076,472.3536471621084,1525.6635017670612
FALSE,Global,2138,Ageing-related,100% reduction,2627.200958918946,470.1149897802324,1523.0153748001117
FALSE,Global,2139,Ageing-related,100% reduction,2620.2386350317365,467.8738926241226,1520.2257953028316
FALSE,Global,2140,Ageing-related,100% reduction,2613.1465761558475,465.6326665644312,1517.2877920785809
FALSE,Global,2141,Ageing-related,100% reduction,2605.9092152225544,463.39445840584085,1514.194876391222
FALSE,Global,2142,Ageing-related,100% reduction,2598.5126642012233,461.1610795399828,1510.9444150387135
FALSE,Global,2143,Ageing-related,100% reduction,2590.9443670929336,458.93379258320044,1507.5386040908309
FALSE,Global,2144,Ageing-related,100% reduction,2583.1938188954964,456.7106818239231,1503.980703324316
FALSE,Global,2145,Ageing-related,100% reduction,2575.255800752056,454.4919631701126,1500.2757536061706
FALSE,Global,2146,Ageing-related,100% reduction,2567.1292350984363,452.2773509968033,1496.430382669836
