"year","age_name","cluster_4","val","age","measure"
"2023","65-69 years","Adult (late)","0.0030749801028771935","65-69 years","Mortality"
"2023","65-69 years","Ageing-related","0.013658695282012474","65-69 years","Mortality"
"2023","70-74 years","Infant","0.0023445932348725167","70-74 years","Mortality"
"2023","70-74 years","Adult (early)","4.464654802836497e-4","70-74 years","Mortality"
"2023","70-74 years","Adult (late)","0.0037981569659246996","70-74 years","Mortality"
"2023","70-74 years","Ageing-related","0.021304903461721036","70-74 years","Mortality"
"2023","75-79 years","Infant","0.0035042906814927613","75-79 years","Mortality"
"2023","75-79 years","Adult (early)","4.780360765448411e-4","75-79 years","Mortality"
"2023","75-79 years","Adult (late)","0.004583124576532957","75-79 years","Mortality"
"2023","75-79 years","Ageing-related","0.03433709240623676","75-79 years","Mortality"
"2023","80-84 years","Infant","0.0056770124344920235","80-84 years","Mortality"
"2023","80-84 years","Adult (early)","5.2049554860108e-4","80-84 years","Mortality"
"2023","80-84 years","Adult (late)","0.005412661046399526","80-84 years","Mortality"
"2023","80-84 years","Ageing-related","0.060225415426841","80-84 years","Mortality"
"2023","85-89 years","Infant","0.009210919043045123","85-89 years","Mortality"
"2023","85-89 years","Adult (early)","5.953883107593464e-4","85-89 years","Mortality"
"2023","85-89 years","Adult (late)","0.0062569779193539544","85-89 years","Mortality"
"2023","85-89 years","Ageing-related","0.10177727595064737","85-89 years","Mortality"
"2023","90-94 years","Infant","0.015808120188500006","90-94 years","Mortality"
"2023","90-94 years","Adult (early)","6.322520290902473e-4","90-94 years","Mortality"
"2023","90-94 years","Adult (late)","0.007000962884480721","90-94 years","Mortality"
"2023","90-94 years","Ageing-related","0.1640770020017784","90-94 years","Mortality"
"2023","95-99 years","Infant","0.026534679087936063","95-99 years","Mortality"
"2023","95-99 years","Adult (early)","7.199086714571024e-4","95-99 years","Mortality"
"2023","95-99 years","Adult (late)","0.00777142461490095","95-99 years","Mortality"
"2023","95-99 years","Ageing-related","0.24135623406539186","95-99 years","Mortality"
"2023","0-1 years","Infant","0.0379240222820276","0-1 years","Disability"
"2023","0-1 years","Adult (early)","6.510014822976999e-4","0-1 years","Disability"
"2023","0-1 years","Adult (late)","1.77584771649e-4","0-1 years","Disability"
"2023","0-1 years","Ageing-related","0.0021316944532452","0-1 years","Disability"
"2023","1-2 years","Infant","0.035819396587560996","1-2 years","Disability"
"2023","1-2 years","Adult (early)","8.591531283806999e-4","1-2 years","Disability"
"2023","1-2 years","Adult (late)","2.375631776223e-4","1-2 years","Disability"
"2023","1-2 years","Ageing-related","0.0075538437470064005","1-2 years","Disability"
"2023","10-14 years","Infant","0.0226249970889707","10-14 years","Disability"
"2023","10-14 years","Adult (early)","0.0276503394380186","10-14 years","Disability"
"2023","10-14 years","Adult (late)","0.0049200333006067","10-14 years","Disability"
"2023","10-14 years","Ageing-related","0.011362115570173","10-14 years","Disability"
"2023","15-19 years","Infant","0.0196604573248767","15-19 years","Disability"
"2023","15-19 years","Adult (early)","0.0367024543184723","15-19 years","Disability"
"2023","15-19 years","Adult (late)","0.0102419867104444","15-19 years","Disability"
"2023","15-19 years","Ageing-related","0.0127000492767404","15-19 years","Disability"
"2023","2-4 years","Infant","0.030861482571377403","2-4 years","Disability"
"2023","2-4 years","Adult (early)","0.0019652287869015","2-4 years","Disability"
"2023","2-4 years","Adult (late)","4.292907438293e-4","2-4 years","Disability"
"2023","2-4 years","Ageing-related","0.0108659862644433","2-4 years","Disability"
"2023","20-24 years","Infant","0.0183890011591848","20-24 years","Disability"
"2023","20-24 years","Adult (early)","0.0404302100127596","20-24 years","Disability"
"2023","20-24 years","Adult (late)","0.0157687751088054","20-24 years","Disability"
"2023","20-24 years","Ageing-related","0.0152889666648327","20-24 years","Disability"
"2023","25-29 years","Infant","0.0173220936155509","25-29 years","Disability"
