"location","year","age_name","age","disability","disability_infant","disability_adult_early","disability_adult_late","disability_ageing","disability_covid","disability_ageing_nocov"
"Global",2023,"30-34 years",31,11117.9608937622,1603.82754522547,4597.27410780438,2685.30246787949,2231.55677285282,186.46320172724,2045.09357112558
"Global",2023,"30-34 years",32,11117.9608937622,1603.82754522547,4597.27410780438,2685.30246787949,2231.55677285282,186.46320172724,2045.09357112558
"Global",2023,"30-34 years",33,11117.9608937622,1603.82754522547,4597.27410780438,2685.30246787949,2231.55677285282,186.46320172724,2045.09357112558
"Global",2023,"30-34 years",34,11117.9608937622,1603.82754522547,4597.27410780438,2685.30246787949,2231.55677285282,186.46320172724,2045.09357112558
"Global",2023,"35-39 years",35,12099.8432681023,1531.68012175448,4657.12859123367,3195.29263214037,2715.74192297381,174.82015158984,2540.92177138397
"Global",2023,"35-39 years",36,12099.8432681023,1531.68012175448,4657.12859123367,3195.29263214037,2715.74192297381,174.82015158984,2540.92177138397
"Global",2023,"35-39 years",37,12099.8432681023,1531.68012175448,4657.12859123367,3195.29263214037,2715.74192297381,174.82015158984,2540.92177138397
"Global",2023,"35-39 years",38,12099.8432681023,1531.68012175448,4657.12859123367,3195.29263214037,2715.74192297381,174.82015158984,2540.92177138397
"Global",2023,"35-39 years",39,12099.8432681023,1531.68012175448,4657.12859123367,3195.29263214037,2715.74192297381,174.82015158984,2540.92177138397
"Global",2023,"40-44 years",40,13276.1507168969,1507.67693876368,4597.05433847291,3797.35263063762,3374.06680902269,174.27747881628,3199.78933020641
"Global",2023,"40-44 years",41,13276.1507168969,1507.67693876368,4597.05433847291,3797.35263063762,3374.06680902269,174.27747881628,3199.78933020641
"Global",2023,"40-44 years",42,13276.1507168969,1507.67693876368,4597.05433847291,3797.35263063762,3374.06680902269,174.27747881628,3199.78933020641
"Global",2023,"40-44 years",43,13276.1507168969,1507.67693876368,4597.05433847291,3797.35263063762,3374.06680902269,174.27747881628,3199.78933020641
"Global",2023,"40-44 years",44,13276.1507168969,1507.67693876368,4597.05433847291,3797.35263063762,3374.06680902269,174.27747881628,3199.78933020641
"Global",2023,"45-49 years",45,14473.8948649785,1435.14968843673,4248.52337431547,4402.97506076851,4387.24674145782,170.04041452415,4217.20632693367
"Global",2023,"45-49 years",46,14473.8948649785,1435.14968843673,4248.52337431547,4402.97506076851,4387.24674145782,170.04041452415,4217.20632693367
"Global",2023,"45-49 years",47,14473.8948649785,1435.14968843673,4248.52337431547,4402.97506076851,4387.24674145782,170.04041452415,4217.20632693367
"Global",2023,"45-49 years",48,14473.8948649785,1435.14968843673,4248.52337431547,4402.97506076851,4387.24674145782,170.04041452415,4217.20632693367
"Global",2023,"45-49 years",49,14473.8948649785,1435.14968843673,4248.52337431547,4402.97506076851,4387.24674145782,170.04041452415,4217.20632693367
"Global",2023,"50-54 years",50,15997.1416006215,1338.00879112859,3977.11082998966,4983.11120443485,5698.91077506841,161.22807265877,5537.68270240964
"Global",2023,"50-54 years",51,15997.1416006215,1338.00879112859,3977.11082998966,4983.11120443485,5698.91077506841,161.22807265877,5537.68270240964
"Global",2023,"50-54 years",52,15997.1416006215,1338.00879112859,3977.11082998966,4983.11120443485,5698.91077506841,161.22807265877,5537.68270240964
"Global",2023,"50-54 years",53,15997.1416006215,1338.00879112859,3977.11082998966,4983.11120443485,5698.91077506841,161.22807265877,5537.68270240964
"Global",2023,"50-54 years",54,15997.1416006215,1338.00879112859,3977.11082998966,4983.11120443485,5698.91077506841,161.22807265877,5537.68270240964
"Global",2023,"55-59 years",55,17823.2123621409,1288.67089281701,3633.15630935664,5505.0066105627,7396.3785494045,164.03359973423,7232.34494967027
"Global",2023,"55-59 years",56,17823.2123621409,1288.67089281701,3633.15630935664,5505.0066105627,7396.3785494045,164.03359973423,7232.34494967027
"Global",2023,"55-59 years",57,17823.2123621409,1288.67089281701,3633.15630935664,5505.0066105627,7396.3785494045,164.03359973423,7232.34494967027
"Global",2023,"55-59 years",58,17823.2123621409,1288.67089281701,3633.15630935664,5505.0066105627,7396.3785494045,164.03359973423,7232.34494967027
"Global",2023,"55-59 years",59,17823.2123621409,1288.67089281701,3633.15630935664,5505.0066105627,7396.3785494045,164.03359973423,7232.34494967027
"Global",2023,"60-64 years",60,20172.7149776831,1227.54793421623,3403.11387803587,5997.59816434875,9544.45500108227,173.02156329497,9371.4334377873
"Global",2023,"60-64 years",61,20172.7149776831,1227.54793421623,3403.11387803587,5997.59816434875,9544.45500108227,173.02156329497,9371.4334377873
"Global",2023,"60-64 years",62,20172.7149776831,1227.54793421623,3403.11387803587,5997.59816434875,9544.45500108227,173.02156329497,9371.4334377873
"Global",2023,"60-64 years",63,20172.7149776831,1227.54793421623,3403.11387803587,5997.59816434875,9544.45500108227,173.02156329497,9371.4334377873
"Global",2023,"60-64 years",64,20172.7149776831,1227.54793421623,3403.11387803587,5997.59816434875,9544.45500108227,173.02156329497,9371.4334377873
