"","cause_name","cluster_4","daly_percent_condition","daly_percent_condcluster","level1_name"
"117","HIV/AIDS resulting in other diseases","Adult (early)",1.22007852099099,7.61942347120376,"Communicable, maternal, neonatal, and nutritional diseases"
"118","Hemolytic disease and other neonatal jaundice","Infant",0.167083384579636,0.622150408030483,"Communicable, maternal, neonatal, and nutritional diseases"
"119","Hepatoblastoma","Infant",0.0110183009742522,0.0410276609142211,"Non-communicable diseases"
"120","Hodgkin lymphoma","Adult (late)",0.0423240735907223,0.276663945872722,"Non-communicable diseases"
"121","Hookworm disease","Infant",0.0162674592920557,0.0605733865257434,"Communicable, maternal, neonatal, and nutritional diseases"
"122","Hypertensive heart disease","Ageing-related",1.01506092109666,2.42643283643952,"Non-communicable diseases"
"123","Idiopathic developmental intellectual disability","Adult (early)",0.130284380128667,0.813629489253938,"Non-communicable diseases"
"124","Idiopathic epilepsy","Infant",0.551391359470045,2.05315663279054,"Non-communicable diseases"
"125","Indirect maternal deaths","Adult (early)",0.0503877561761297,0.314672904624088,"Communicable, maternal, neonatal, and nutritional diseases"
"126","Inguinal, femoral, and abdominal hernia","Ageing-related",0.0858638169956998,0.205251508249681,"Non-communicable diseases"
"127","Interstitial lung disease and pulmonary sarcoidosis","Ageing-related",0.159486024967025,0.381240297887847,"Non-communicable diseases"
"128","Intracerebral hemorrhage","Ageing-related",2.79587084359805,6.6833356307529,"Non-communicable diseases"
"129","Invasive Non-typhoidal Salmonella (iNTS)","Infant",0.208991729405435,0.778199999070613,"Communicable, maternal, neonatal, and nutritional diseases"
"130","Iodine deficiency","Adult (early)",0.0802392286713115,0.501096160395396,"Communicable, maternal, neonatal, and nutritional diseases"
"131","Ischemic heart disease","Ageing-related",6.87897741525043,16.4437191252091,"Non-communicable diseases"
"132","Ischemic stroke","Ageing-related",2.3936750037234,5.72191432857444,"Non-communicable diseases"
"133","Kidney cancer","Ageing-related",0.145202308304067,0.347096062387226,"Non-communicable diseases"
