"","cause_name","cluster_4","daly_percent_condition","daly_percent_condcluster"
"103","G6PD trait","Infant",0.000541448278342007,0.00201613265224063
"104","Gallbladder and biliary diseases","Ageing-related",0.291808185121245,0.697547258104507
"105","Gallbladder and biliary tract cancer","Ageing-related",0.143085435732005,0.342035825102297
"106","Gastritis and duodenitis","Ageing-related",0.104610373343791,0.250063852955088
"107","Gastroesophageal reflux disease","Adult (late)",0.230060343498236,1.50385813607054
"108","Genital herpes","Adult (late)",0.00775354250183896,0.0506833459320147
"109","Genital prolapse","Ageing-related",0.0154942950201654,0.0370380392280224
"110","Glaucoma","Ageing-related",0.0244616750840072,0.0584739402577173
"111","Gonococcal infection","Adult (early)",0.00279659594377055,0.0174648175562759
"112","Gout","Ageing-related",0.0639466267208219,0.152859982716414
"113","Guinea worm disease","Adult (early)",8.35840175293157e-09,5.21984457576628e-08
"114","HIV/AIDS - Drug-susceptible Tuberculosis","Adult (early)",0.356772768773474,2.2280556222488
"115","HIV/AIDS - Extensively drug-resistant Tuberculosis","Adult (early)",0.00143078353006314,0.00893528197047525
"116","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance","Adult (early)",0.0341469541818419,0.213248655465157
"117","HIV/AIDS resulting in other diseases","Adult (early)",1.22007852099099,7.61942347120376
"118","Hemolytic disease and other neonatal jaundice","Infant",0.167083384579636,0.622150408030483
"119","Hepatoblastoma","Infant",0.0110183009742522,0.0410276609142211
"120","Hodgkin lymphoma","Adult (late)",0.0423240735907223,0.276663945872722
"121","Hookworm disease","Infant",0.0162674592920557,0.0605733865257434
"122","Hypertensive heart disease","Ageing-related",1.01506092109666,2.42643283643952
"123","Idiopathic developmental intellectual disability","Adult (early)",0.130284380128667,0.813629489253938
"124","Idiopathic epilepsy","Infant",0.551391359470045,2.05315663279054
"125","Indirect maternal deaths","Adult (early)",0.0503877561761297,0.314672904624088
"126","Inguinal, femoral, and abdominal hernia","Ageing-related",0.0858638169956998,0.205251508249681
